payment_id,user_id,subscription_id,payment_date,amount_usd,currency,payment_status,payment_provider,failure_reason
44,42,30,2025-08-28,33.81,EUR,success,card,
45,42,30,2025-11-26,33.14,EUR,success,card,
46,44,32,2025-10-21,33.48,TRY,success,card,
47,45,33,2025-04-15,32.0,PLN,success,card,
48,45,33,2025-07-14,32.99,PLN,success,google_pay,
49,45,33,2025-10-12,32.81,PLN,success,card,
50,46,34,2025-12-11,12.92,EUR,success,google_pay,
51,47,35,2025-07-04,13.37,RUB,success,card,
52,47,35,2025-08-03,13.12,RUB,success,crypto,
53,47,35,2025-09-02,12.75,RUB,success,card,
54,47,35,2025-10-02,12.97,RUB,failed,google_pay,expired_card
55,47,35,2025-11-01,12.79,RUB,failed,apple_pay,card_declined
56,47,35,2025-11-08,12.79,RUB,success,apple_pay,
57,48,36,2025-10-18,13.37,TRY,success,google_pay,
58,48,36,2025-11-17,13.44,TRY,success,card,
59,48,36,2025-12-17,12.78,TRY,success,card,
60,51,39,2025-07-05,33.94,EUR,success,google_pay,
61,51,39,2025-10-03,33.67,EUR,success,apple_pay,
62,52,40,2025-09-13,13.06,AED,success,crypto,
63,52,40,2025-10-13,13.38,AED,success,card,
64,52,40,2025-11-12,12.62,AED,success,google_pay,
65,54,42,2025-12-26,13.48,PLN,success,apple_pay,
66,56,44,2025-12-23,32.99,GEL,success,card,
67,62,48,2025-08-08,13.33,AED,success,google_pay,
68,62,48,2025-09-07,13.48,AED,failed,bank_transfer,insufficient_funds
69,62,48,2025-10-07,12.68,AED,success,apple_pay,
70,62,48,2025-11-06,13.32,AED,success,bank_transfer,
71,62,48,2025-12-06,13.09,AED,success,apple_pay,
72,64,50,2025-02-22,32.88,RUB,success,crypto,
73,64,50,2025-05-23,32.73,RUB,success,card,
74,64,50,2025-08-21,31.86,RUB,success,google_pay,
75,64,50,2025-11-19,32.4,RUB,success,card,
76,66,51,2025-12-09,12.96,EUR,success,apple_pay,
77,67,52,2025-10-07,117.23,RUB,success,bank_transfer,
78,71,55,2025-11-09,12.92,GEL,success,card,
79,71,55,2025-12-09,13.16,GEL,failed,card,card_declined
80,71,55,2025-12-10,13.16,GEL,success,card,
81,74,58,2025-12-25,13.25,PLN,success,google_pay,
82,75,59,2025-12-31,12.55,AMD,success,apple_pay,
83,78,61,2025-12-22,32.93,RUB,success,card,
84,81,64,2025-11-11,13.17,GEL,success,apple_pay,
85,81,64,2025-12-11,13.02,GEL,success,apple_pay,
86,84,66,2025-09-11,13.34,RUB,success,card,
87,84,66,2025-10-11,12.95,RUB,success,google_pay,
88,84,66,2025-11-10,13.47,RUB,success,crypto,
89,84,66,2025-12-10,12.73,RUB,success,card,
90,87,69,2025-10-21,12.72,EUR,success,apple_pay,
91,87,69,2025-11-20,13.12,EUR,failed,bank_transfer,provider_error
92,87,69,2025-11-25,13.12,EUR,success,bank_transfer,
93,87,69,2025-12-20,13.01,EUR,success,card,
94,88,70,2025-08-24,122.76,KZT,success,card,
95,90,72,2025-12-17,33.73,EUR,success,card,
96,92,74,2025-07-24,33.97,TRY,success,card,
97,92,74,2025-10-22,34.26,TRY,success,card,
98,98,78,2025-05-30,31.9,EUR,success,bank_transfer,
99,98,78,2025-08-28,33.06,EUR,success,apple_pay,
100,98,78,2025-11-26,34.24,EUR,success,card,
101,103,81,2025-06-08,12.62,TRY,success,card,
102,103,81,2025-07-08,12.83,TRY,success,google_pay,
103,103,81,2025-08-07,12.58,TRY,success,crypto,
104,103,81,2025-09-06,12.62,TRY,failed,card,authentication_failed
105,103,81,2025-10-06,13.47,TRY,success,card,
106,104,82,2025-08-06,12.76,KZT,success,card,
107,104,82,2025-09-05,12.77,KZT,failed,apple_pay,insufficient_funds
108,104,82,2025-09-08,12.77,KZT,success,apple_pay,
109,104,82,2025-10-05,13.26,KZT,success,apple_pay,
110,104,82,2025-11-04,12.67,KZT,success,bank_transfer,
111,104,82,2025-12-04,13.26,KZT,success,crypto,
112,105,83,2025-09-22,12.63,PLN,success,crypto,
113,105,83,2025-10-22,12.8,PLN,success,google_pay,
114,105,83,2025-11-21,13.09,PLN,success,google_pay,
115,107,84,2025-12-03,32.06,GEL,success,google_pay,
116,112,88,2025-08-08,117.8,RUB,success,bank_transfer,
117,114,90,2025-10-09,34.14,TRY,success,apple_pay,
118,116,91,2025-07-11,12.49,RUB,success,apple_pay,
119,116,91,2025-08-10,12.67,RUB,success,apple_pay,
120,116,91,2025-09-09,12.91,RUB,success,card,
121,117,92,2025-11-30,31.98,RUB,success,card,
122,119,94,2025-12-30,31.83,PLN,success,bank_transfer,
123,120,95,2025-09-26,13.17,RUB,success,crypto,
124,120,95,2025-10-26,12.47,RUB,success,card,
125,120,95,2025-11-25,13.2,RUB,success,card,
126,120,95,2025-12-25,13.5,RUB,success,google_pay,
127,123,97,2025-11-20,122.96,GEL,success,card,
128,124,98,2025-12-26,117.97,KZT,success,crypto,
129,126,100,2025-11-02,12.78,TRY,success,google_pay,
130,126,100,2025-12-02,13.05,TRY,success,google_pay,
131,129,103,2025-09-23,34.0,PLN,success,card,
132,129,103,2025-12-22,33.68,PLN,success,apple_pay,
133,130,104,2025-08-21,12.74,EUR,success,apple_pay,
134,130,104,2025-09-20,12.98,EUR,success,bank_transfer,
135,130,104,2025-10-20,13.22,EUR,success,card,
136,130,104,2025-11-19,13.14,EUR,failed,crypto,insufficient_funds
137,133,106,2025-10-28,13.47,EUR,success,card,
138,133,106,2025-11-27,12.78,EUR,success,apple_pay,
139,133,106,2025-12-27,13.15,EUR,failed,google_pay,card_declined
140,137,109,2025-12-18,33.71,AED,failed,card,insufficient_funds
141,139,110,2025-03-19,32.75,GEL,failed,crypto,card_declined
142,139,110,2025-03-24,32.75,GEL,success,crypto,
143,143,113,2025-10-23,12.81,RUB,success,apple_pay,
144,143,113,2025-11-22,13.44,RUB,success,card,
145,143,113,2025-12-22,13.27,RUB,failed,card,expired_card
146,147,116,2025-11-28,32.58,RUB,failed,crypto,insufficient_funds
147,147,116,2025-11-29,32.58,RUB,success,crypto,
148,149,118,2025-07-23,13.39,GEL,success,apple_pay,
149,149,118,2025-08-22,12.69,GEL,success,card,
150,149,118,2025-09-21,13.07,GEL,success,apple_pay,
151,149,118,2025-10-21,12.68,GEL,success,card,
152,151,119,2025-09-06,13.43,RUB,success,crypto,
153,151,119,2025-10-06,12.77,RUB,success,card,
154,151,119,2025-11-05,13.37,RUB,success,bank_transfer,
155,154,122,2025-12-07,116.32,EUR,success,google_pay,
156,158,123,2025-10-31,13.39,EUR,failed,bank_transfer,card_declined
157,158,123,2025-11-03,13.39,EUR,success,bank_transfer,
158,158,123,2025-11-30,12.98,EUR,success,card,
159,158,123,2025-12-30,12.57,EUR,success,google_pay,
160,160,125,2025-07-04,123.92,RUB,success,google_pay,
161,161,126,2025-04-25,32.93,TRY,success,card,
162,161,126,2025-07-24,31.69,TRY,success,apple_pay,
163,161,126,2025-10-22,32.78,TRY,success,google_pay,
164,162,127,2025-08-29,12.84,GEL,success,card,
165,162,127,2025-09-28,13.11,GEL,success,google_pay,
166,162,127,2025-10-28,12.62,GEL,success,google_pay,
167,162,127,2025-11-27,12.92,GEL,success,card,
168,162,127,2025-12-27,12.73,GEL,success,bank_transfer,
169,166,129,2025-10-14,31.89,GEL,success,card,
170,167,130,2025-07-05,116.34,RUB,success,apple_pay,
171,169,131,2025-10-30,12.63,PLN,success,card,
172,169,131,2025-11-29,12.59,PLN,success,apple_pay,
173,169,131,2025-12-13,12.59,PLN,refunded,apple_pay,
174,169,131,2025-12-29,12.72,PLN,success,google_pay,
175,170,132,2025-12-11,13.31,EUR,success,card,
176,172,133,2025-12-30,13.34,KZT,success,card,
177,173,134,2025-09-04,12.95,EUR,success,google_pay,
178,173,134,2025-10-04,13.13,EUR,success,crypto,
179,173,134,2025-11-03,13.16,EUR,success,card,
180,173,134,2025-12-03,13.43,EUR,success,google_pay,
181,174,135,2025-07-26,117.73,KZT,success,card,
182,175,136,2025-08-28,123.39,TRY,success,google_pay,
183,176,137,2025-10-29,34.3,EUR,success,card,
184,179,140,2025-09-09,13.28,GEL,success,card,
185,179,140,2025-10-09,12.75,GEL,failed,card,card_declined
186,179,140,2025-10-16,12.75,GEL,success,card,
187,179,140,2025-11-08,12.53,GEL,success,apple_pay,
188,179,140,2025-12-08,13.51,GEL,success,apple_pay,
189,188,143,2025-12-16,116.04,KZT,success,google_pay,
190,192,146,2025-10-29,13.23,TRY,success,apple_pay,
191,192,146,2025-11-28,12.52,TRY,success,card,
192,192,146,2025-12-28,12.85,TRY,success,card,
193,193,147,2025-10-16,32.68,KZT,success,card,
194,198,148,2025-07-28,12.76,RUB,success,card,
195,198,148,2025-08-27,13.12,RUB,success,apple_pay,
196,198,148,2025-09-26,12.62,RUB,success,card,
197,198,148,2025-10-26,13.43,RUB,success,google_pay,
198,198,148,2025-11-25,13.03,RUB,success,card,
199,198,148,2025-12-25,12.98,RUB,success,card,
200,199,149,2025-10-11,32.97,TRY,success,card,
201,201,151,2025-05-11,115.51,GEL,failed,card,card_declined
202,201,151,2025-05-14,115.51,GEL,success,card,
203,202,152,2025-09-05,117.93,TRY,success,apple_pay,
204,205,153,2025-07-25,13.34,TRY,success,google_pay,
205,205,153,2025-08-24,13.18,TRY,success,card,
206,205,153,2025-09-23,12.81,TRY,success,card,
207,205,153,2025-10-23,13.15,TRY,success,google_pay,
208,205,153,2025-11-22,12.53,TRY,success,card,
209,205,153,2025-12-22,12.8,TRY,success,card,
210,209,156,2025-10-18,13.38,PLN,success,card,
211,209,156,2025-11-17,13.5,PLN,success,card,
212,215,161,2025-05-29,12.73,TRY,success,card,
213,215,161,2025-06-28,12.48,TRY,success,apple_pay,
214,215,161,2025-07-28,13.12,TRY,success,crypto,
215,215,161,2025-08-27,13.0,TRY,success,google_pay,
216,215,161,2025-09-26,12.99,TRY,success,apple_pay,
217,215,161,2025-10-26,13.48,TRY,success,apple_pay,
218,215,161,2025-11-25,13.04,TRY,success,card,
219,215,161,2025-12-25,12.71,TRY,failed,card,insufficient_funds
220,216,162,2025-07-27,12.91,PLN,success,apple_pay,
221,216,162,2025-08-26,12.48,PLN,success,google_pay,
222,220,164,2025-09-04,34.19,GEL,success,card,
223,220,164,2025-12-03,33.3,GEL,success,apple_pay,
224,226,169,2025-09-30,122.69,AED,success,card,
225,233,173,2025-06-15,32.45,PLN,success,apple_pay,
226,233,173,2025-09-13,31.94,PLN,success,apple_pay,
227,236,175,2025-05-23,12.92,AED,success,card,
228,236,175,2025-06-22,12.74,AED,success,bank_transfer,
229,236,175,2025-07-22,12.63,AED,success,card,
230,236,175,2025-08-21,13.11,AED,success,google_pay,
231,236,175,2025-09-20,12.84,AED,success,bank_transfer,
232,236,175,2025-10-20,12.66,AED,failed,card,card_declined
233,236,175,2025-10-25,12.66,AED,success,card,
234,236,175,2025-11-19,12.83,AED,success,card,
235,236,175,2025-12-19,12.78,AED,success,card,
236,238,176,2025-12-10,34.04,AED,success,card,
237,239,177,2025-12-29,33.38,AMD,success,apple_pay,
238,240,178,2025-10-02,33.45,RUB,success,card,
239,240,178,2025-12-31,33.67,RUB,success,bank_transfer,
240,241,179,2025-08-17,32.45,AED,success,google_pay,
241,241,179,2025-11-15,34.22,AED,success,google_pay,
242,249,186,2025-05-24,13.16,PLN,success,crypto,
243,249,186,2025-06-23,12.64,PLN,success,bank_transfer,
244,249,186,2025-07-23,13.46,PLN,success,card,
245,249,186,2025-08-22,12.97,PLN,success,apple_pay,
246,249,186,2025-09-21,12.54,PLN,success,card,
247,249,186,2025-10-21,13.41,PLN,success,card,
248,249,186,2025-11-20,12.52,PLN,success,card,
249,249,186,2025-12-20,13.01,PLN,success,apple_pay,
250,250,187,2025-10-31,34.01,KZT,failed,apple_pay,authentication_failed
251,250,187,2025-11-02,34.01,KZT,success,apple_pay,
252,251,188,2025-12-23,32.31,KZT,success,card,
253,253,189,2025-09-21,13.18,EUR,success,card,
254,253,189,2025-10-21,12.86,EUR,success,card,
255,253,189,2025-10-30,12.86,EUR,refunded,card,
256,254,190,2025-10-08,13.4,RUB,success,apple_pay,
257,254,190,2025-11-07,12.86,RUB,failed,crypto,card_declined
258,254,190,2025-11-14,12.86,RUB,success,crypto,
259,254,190,2025-12-07,13.27,RUB,success,card,
260,256,191,2025-11-10,13.36,KZT,success,card,
261,256,191,2025-12-10,13.18,KZT,success,card,
262,264,196,2025-11-15,12.73,RUB,success,apple_pay,
263,264,196,2025-12-15,12.72,RUB,success,card,
264,267,199,2025-08-12,33.69,PLN,success,bank_transfer,
265,270,201,2025-04-02,12.85,AMD,success,bank_transfer,
266,270,201,2025-05-02,12.86,AMD,success,apple_pay,
267,270,201,2025-06-01,12.61,AMD,success,card,
268,270,201,2025-07-01,12.75,AMD,success,card,
269,270,201,2025-07-31,12.62,AMD,success,card,
270,270,201,2025-08-30,12.65,AMD,success,apple_pay,
271,270,201,2025-09-29,13.01,AMD,success,google_pay,
272,270,201,2025-10-29,13.05,AMD,success,card,
273,270,201,2025-11-28,12.53,AMD,success,apple_pay,
274,270,201,2025-12-28,12.94,AMD,success,bank_transfer,
275,271,202,2025-10-29,12.93,GEL,success,apple_pay,
276,271,202,2025-11-28,13.46,GEL,success,card,
277,271,202,2025-12-28,12.91,GEL,success,google_pay,
278,275,204,2025-11-01,12.97,TRY,success,card,
279,275,204,2025-12-01,12.93,TRY,success,card,
280,278,207,2025-05-16,12.86,GEL,success,card,
281,278,207,2025-06-15,13.26,GEL,success,card,
282,278,207,2025-07-15,12.77,GEL,success,apple_pay,
283,278,207,2025-08-14,13.36,GEL,success,card,
284,278,207,2025-09-13,13.11,GEL,success,bank_transfer,
285,278,207,2025-10-13,12.49,GEL,failed,card,card_declined
286,278,207,2025-10-14,12.49,GEL,success,card,
287,278,207,2025-11-12,12.6,GEL,success,card,
288,278,207,2025-11-14,12.6,GEL,refunded,card,
289,278,207,2025-12-12,12.98,GEL,success,card,
290,279,208,2025-05-18,115.31,AED,success,card,
291,283,211,2025-08-16,13.29,AED,success,apple_pay,
292,283,211,2025-09-15,13.29,AED,success,google_pay,
293,283,211,2025-10-15,12.67,AED,success,card,
294,283,211,2025-11-14,13.4,AED,success,card,
295,283,211,2025-12-14,13.19,AED,success,card,
296,285,212,2025-12-24,12.67,RUB,success,apple_pay,
297,286,213,2025-09-25,13.02,RUB,success,bank_transfer,
298,286,213,2025-10-25,13.1,RUB,failed,card,authentication_failed
299,286,213,2025-10-29,13.1,RUB,success,card,
300,286,213,2025-11-24,13.34,RUB,success,google_pay,
301,293,218,2025-07-30,31.87,TRY,success,card,
302,293,218,2025-10-28,34.04,TRY,success,card,
303,295,219,2025-10-28,12.7,PLN,failed,crypto,expired_card
304,295,219,2025-11-01,12.7,PLN,success,crypto,
305,295,219,2025-11-27,13.07,PLN,success,apple_pay,
306,300,223,2025-11-02,32.95,GEL,success,card,
307,302,225,2025-11-15,33.25,KZT,success,card,
308,303,226,2025-07-14,12.76,AED,failed,google_pay,insufficient_funds
309,303,226,2025-07-21,12.76,AED,success,google_pay,
310,303,226,2025-08-13,13.45,AED,success,google_pay,
311,303,226,2025-09-12,12.88,AED,success,card,
312,303,226,2025-10-12,13.17,AED,success,crypto,
313,303,226,2025-11-11,13.07,AED,success,card,
314,303,226,2025-12-11,12.94,AED,success,bank_transfer,
315,308,228,2025-03-22,13.46,GEL,success,google_pay,
316,308,228,2025-04-21,12.68,GEL,success,card,
317,310,229,2025-06-22,120.35,RUB,success,card,
318,311,230,2025-12-21,13.22,KZT,success,card,
319,312,231,2025-09-04,33.57,GEL,success,apple_pay,
320,312,231,2025-12-03,32.63,GEL,success,card,
321,314,233,2025-11-05,31.69,AED,success,crypto,
322,315,234,2025-10-06,12.78,RUB,success,apple_pay,
323,315,234,2025-11-05,12.66,RUB,success,card,
324,318,237,2025-11-16,13.13,AED,success,crypto,
325,318,237,2025-12-16,13.21,AED,success,bank_transfer,
326,318,237,2025-12-17,13.21,AED,refunded,bank_transfer,
327,319,238,2025-10-18,13.0,EUR,success,card,
328,319,238,2025-10-29,13.0,EUR,refunded,card,
329,319,238,2025-11-17,12.88,EUR,success,card,
330,319,238,2025-12-17,12.67,EUR,success,apple_pay,
331,320,239,2025-10-31,13.05,GEL,failed,apple_pay,card_declined
332,320,239,2025-11-07,13.05,GEL,success,apple_pay,
333,320,239,2025-11-30,13.48,GEL,success,card,
334,320,239,2025-12-30,13.12,GEL,success,google_pay,
335,321,240,2025-04-23,116.27,EUR,success,card,
336,324,242,2025-11-19,117.85,TRY,success,card,
337,326,244,2025-11-13,13.34,KZT,success,bank_transfer,
338,326,244,2025-12-13,13.32,KZT,success,card,
339,329,246,2025-06-13,33.38,GEL,success,card,
340,329,246,2025-09-11,32.76,GEL,success,card,
341,329,246,2025-12-10,32.68,GEL,success,google_pay,
342,330,247,2025-09-01,12.65,EUR,success,apple_pay,
343,330,247,2025-10-01,13.32,EUR,success,card,
344,330,247,2025-10-31,13.16,EUR,failed,crypto,provider_error
345,330,247,2025-11-30,13.13,EUR,failed,google_pay,insufficient_funds
346,330,247,2025-12-05,13.13,EUR,success,google_pay,
347,330,247,2025-12-30,13.11,EUR,success,card,
348,334,249,2025-07-27,13.39,KZT,success,card,
349,334,249,2025-08-26,12.61,KZT,success,card,
350,334,249,2025-09-25,13.19,KZT,success,google_pay,
351,334,249,2025-10-25,12.91,KZT,success,card,
352,334,249,2025-11-24,12.91,KZT,failed,card,card_declined
353,334,249,2025-12-24,12.75,KZT,success,apple_pay,
354,336,250,2025-09-18,33.08,AMD,failed,google_pay,card_declined
355,336,250,2025-12-17,32.55,AMD,success,bank_transfer,
356,338,252,2025-12-28,12.63,GEL,success,bank_transfer,
357,341,254,2025-11-15,13.3,RUB,success,card,
358,341,254,2025-12-15,13.46,RUB,failed,crypto,card_declined
359,341,254,2025-12-22,13.46,RUB,success,crypto,
360,343,256,2025-07-26,13.09,TRY,success,card,
361,343,256,2025-08-25,12.6,TRY,success,bank_transfer,
362,344,257,2025-04-23,121.6,EUR,success,apple_pay,
363,345,258,2025-09-09,33.37,GEL,success,card,
364,345,258,2025-12-08,31.86,GEL,success,card,
365,350,262,2025-09-30,13.47,GEL,failed,apple_pay,insufficient_funds
366,350,262,2025-10-06,13.47,GEL,success,apple_pay,
367,350,262,2025-10-30,12.59,GEL,success,card,
368,350,262,2025-11-29,13.18,GEL,success,card,
369,353,265,2025-08-01,12.85,RUB,success,card,
370,353,265,2025-08-31,12.61,RUB,success,bank_transfer,
371,357,268,2025-03-17,33.3,KZT,success,card,
372,357,268,2025-06-15,31.81,KZT,success,card,
373,357,268,2025-09-13,33.03,KZT,failed,card,insufficient_funds
374,357,268,2025-09-18,33.03,KZT,success,card,
375,360,270,2025-11-21,33.35,TRY,success,apple_pay,
376,365,274,2025-06-14,119.28,RUB,success,card,
377,366,275,2025-08-07,13.21,AED,success,card,
378,366,275,2025-09-06,12.59,AED,success,card,
379,366,275,2025-10-06,13.47,AED,success,bank_transfer,
380,368,277,2025-10-17,116.24,RUB,success,google_pay,
381,369,278,2025-05-03,13.14,PLN,success,google_pay,
382,369,278,2025-06-02,12.81,PLN,success,bank_transfer,
383,369,278,2025-07-02,12.93,PLN,success,google_pay,
384,369,278,2025-08-01,12.65,PLN,success,apple_pay,
385,369,278,2025-08-31,13.27,PLN,failed,google_pay,card_declined
386,369,278,2025-09-02,13.27,PLN,success,google_pay,
387,369,278,2025-09-30,12.64,PLN,success,bank_transfer,
388,369,278,2025-10-30,13.21,PLN,success,card,
389,369,278,2025-11-29,12.59,PLN,success,card,
390,373,280,2025-06-26,13.02,AED,success,card,
391,373,280,2025-07-26,12.56,AED,success,card,
392,373,280,2025-08-25,13.48,AED,success,google_pay,
393,373,280,2025-09-24,13.0,AED,failed,bank_transfer,expired_card
394,373,280,2025-09-30,13.0,AED,success,bank_transfer,
395,373,280,2025-10-24,12.85,AED,success,google_pay,
396,373,280,2025-11-23,13.49,AED,success,card,
397,373,280,2025-12-23,12.93,AED,success,apple_pay,
398,376,282,2025-03-11,12.6,KZT,success,bank_transfer,
399,376,282,2025-04-10,13.41,KZT,success,card,
400,376,282,2025-05-10,12.98,KZT,success,apple_pay,
401,376,282,2025-06-09,12.97,KZT,success,card,
402,376,282,2025-07-09,13.48,KZT,success,apple_pay,
403,376,282,2025-08-08,12.49,KZT,success,apple_pay,
404,378,284,2025-11-21,33.2,KZT,success,card,
405,378,284,2025-11-30,33.2,KZT,refunded,card,
406,380,286,2025-11-29,122.34,RUB,success,card,
407,382,287,2025-05-07,12.84,KZT,success,card,
408,382,287,2025-06-06,13.46,KZT,success,google_pay,
409,382,287,2025-07-06,13.23,KZT,success,crypto,
410,382,287,2025-08-05,13.07,KZT,failed,card,insufficient_funds
411,382,287,2025-08-08,13.07,KZT,success,card,
412,382,287,2025-09-04,13.25,KZT,failed,card,expired_card
413,382,287,2025-10-04,13.36,KZT,success,google_pay,
414,382,287,2025-11-03,13.17,KZT,success,card,
415,383,288,2025-12-04,32.69,AMD,success,crypto,
416,384,289,2025-09-25,119.4,AMD,success,card,
417,385,290,2025-12-05,122.04,TRY,success,card,
418,386,291,2025-10-08,31.74,RUB,success,crypto,
419,389,293,2025-04-21,13.18,GEL,success,bank_transfer,
420,389,293,2025-05-21,13.0,GEL,success,google_pay,
421,389,293,2025-06-20,13.11,GEL,success,google_pay,
422,389,293,2025-07-20,12.5,GEL,failed,card,provider_error
423,389,293,2025-07-26,12.5,GEL,success,card,
424,389,293,2025-08-19,13.27,GEL,success,bank_transfer,
425,389,293,2025-09-18,13.5,GEL,success,card,
426,389,293,2025-10-18,12.71,GEL,success,card,
427,389,293,2025-11-17,13.37,GEL,success,apple_pay,
428,389,293,2025-12-17,12.51,GEL,success,crypto,
429,391,295,2025-12-07,118.04,AMD,success,card,
430,396,299,2025-10-14,13.05,KZT,success,card,
431,396,299,2025-11-13,12.64,KZT,success,card,
432,396,299,2025-12-13,13.15,KZT,success,apple_pay,
433,400,301,2025-06-12,12.91,KZT,success,card,
434,400,301,2025-07-12,13.44,KZT,success,google_pay,
435,400,301,2025-08-11,12.49,KZT,success,apple_pay,
436,400,301,2025-09-10,13.16,KZT,success,google_pay,
437,400,301,2025-10-10,12.72,KZT,success,apple_pay,
438,400,301,2025-11-09,12.85,KZT,success,google_pay,
439,400,301,2025-12-09,13.36,KZT,success,google_pay,
440,405,305,2025-11-17,13.38,GEL,success,card,
441,405,305,2025-12-17,13.46,GEL,success,card,
442,415,314,2025-06-28,13.33,RUB,success,apple_pay,
443,415,314,2025-07-28,13.51,RUB,failed,card,provider_error
444,415,314,2025-07-29,13.51,RUB,success,card,
445,415,314,2025-08-27,12.99,RUB,success,card,
446,415,314,2025-09-26,13.49,RUB,success,card,
447,415,314,2025-10-26,12.58,RUB,success,google_pay,
448,415,314,2025-11-25,13.21,RUB,success,card,
449,415,314,2025-12-25,13.15,RUB,success,card,
450,417,315,2025-04-30,12.6,EUR,success,bank_transfer,
451,417,315,2025-05-30,12.79,EUR,success,apple_pay,
452,417,315,2025-06-29,13.34,EUR,success,bank_transfer,
453,417,315,2025-07-29,12.97,EUR,success,google_pay,
454,417,315,2025-08-28,13.31,EUR,success,apple_pay,
455,418,316,2025-08-03,12.62,RUB,success,card,
456,418,316,2025-09-02,13.01,RUB,success,google_pay,
457,418,316,2025-10-02,12.52,RUB,success,card,
458,418,316,2025-11-01,13.16,RUB,success,card,
459,418,316,2025-12-01,12.56,RUB,success,card,
460,418,316,2025-12-31,12.66,RUB,success,bank_transfer,
461,430,324,2025-10-16,12.64,GEL,success,card,
462,430,324,2025-11-15,12.54,GEL,success,card,
463,430,324,2025-12-15,12.7,GEL,success,card,
464,431,325,2025-09-23,116.17,EUR,success,google_pay,
465,433,326,2025-05-17,13.16,RUB,success,card,
466,433,326,2025-06-16,12.71,RUB,success,card,
467,433,326,2025-07-16,12.95,RUB,success,card,
468,433,326,2025-08-15,12.5,RUB,success,card,
469,433,326,2025-08-28,12.5,RUB,refunded,card,
470,433,326,2025-09-14,12.54,RUB,success,crypto,
471,433,326,2025-10-14,12.92,RUB,success,apple_pay,
472,433,326,2025-11-13,12.63,RUB,success,google_pay,
473,433,326,2025-12-13,13.3,RUB,success,google_pay,
474,434,327,2025-12-01,33.3,AMD,success,bank_transfer,
475,441,329,2025-12-01,12.88,GEL,success,crypto,
476,441,329,2025-12-31,12.93,GEL,success,card,
477,442,330,2025-10-23,12.59,AMD,success,google_pay,
478,442,330,2025-11-22,12.77,AMD,success,card,
479,442,330,2025-12-22,12.86,AMD,success,card,
480,446,333,2025-12-12,13.11,GEL,success,card,
481,451,337,2025-10-30,33.13,KZT,success,card,
482,453,339,2025-06-04,13.35,AMD,success,google_pay,
483,453,339,2025-07-04,12.64,AMD,success,card,
484,453,339,2025-08-03,13.2,AMD,success,card,
485,453,339,2025-09-02,13.38,AMD,success,google_pay,
486,453,339,2025-10-02,13.39,AMD,success,apple_pay,
487,453,339,2025-11-01,13.21,AMD,success,google_pay,
488,453,339,2025-12-01,12.69,AMD,success,card,
489,453,339,2025-12-31,12.61,AMD,success,google_pay,
490,454,340,2025-11-24,13.1,PLN,success,card,
491,454,340,2025-12-24,13.49,PLN,success,apple_pay,
