subscription_id,user_id,plan_name,status,started_at,canceled_at,cancellation_reason,trial_started_at,trial_ended_at
35,47,monthly,canceled,2025-07-04,2025-11-19,switched_product,2025-06-20,2025-07-04
36,48,monthly,canceled,2025-10-18,2025-12-30,not_using_enough,2025-10-04,2025-10-18
37,49,monthly,expired,2025-10-03,,,2025-10-03,2025-10-17
38,50,monthly,expired,2025-11-16,,,2025-11-16,2025-11-30
39,51,quarterly,canceled,2025-07-05,2025-11-18,missing_features,2025-06-21,2025-07-05
40,52,monthly,canceled,2025-09-13,2025-12-12,too_expensive,2025-08-30,2025-09-13
41,53,monthly,expired,2025-12-08,,,2025-12-08,2025-12-22
42,54,monthly,active,2025-12-26,,,2025-12-12,2025-12-26
43,55,quarterly,expired,2025-02-27,,,2025-02-27,2025-03-13
44,56,quarterly,active,2025-12-23,,,2025-12-09,2025-12-23
45,57,monthly,expired,2025-08-12,,,2025-08-12,2025-08-26
46,58,monthly,expired,2025-09-25,,,2025-09-25,2025-10-09
47,60,quarterly,expired,2025-12-02,,,2025-12-02,2025-12-16
48,62,monthly,active,2025-08-08,,,2025-07-25,2025-08-08
49,63,monthly,trial,2025-12-26,,,2025-12-26,2026-01-09
50,64,quarterly,active,2025-02-22,,,2025-02-08,2025-02-22
51,66,monthly,active,2025-12-09,,,2025-11-25,2025-12-09
52,67,yearly,canceled,2025-10-07,2025-11-29,missing_features,2025-09-23,2025-10-07
53,68,quarterly,expired,2025-11-12,,,2025-11-12,2025-11-26
54,69,monthly,expired,2025-07-12,,,2025-07-12,2025-07-26
55,71,monthly,active,2025-11-09,,,2025-10-26,2025-11-09
56,72,quarterly,expired,2025-07-16,,,2025-07-16,2025-07-30
57,73,monthly,expired,2025-07-24,,,2025-07-24,2025-08-07
58,74,monthly,active,2025-12-25,,,2025-12-11,2025-12-25
59,75,monthly,active,2025-12-31,,,2025-12-17,2025-12-31
60,77,monthly,trial,2026-01-03,,,2026-01-03,2026-01-17
61,78,quarterly,active,2025-12-22,,,2025-12-08,2025-12-22
62,79,monthly,expired,2025-09-11,,,2025-09-11,2025-09-25
63,80,quarterly,expired,2025-07-14,,,2025-07-14,2025-07-28
64,81,monthly,active,2025-11-11,,,2025-10-28,2025-11-11
65,82,yearly,expired,2025-12-12,,,2025-12-12,2025-12-26
66,84,monthly,active,2025-09-11,,,2025-08-28,2025-09-11
67,85,monthly,expired,2025-12-07,,,2025-12-07,2025-12-21
68,86,yearly,expired,2025-05-12,,,2025-05-12,2025-05-26
69,87,monthly,canceled,2025-10-21,2025-12-28,not_using_enough,2025-10-07,2025-10-21
70,88,yearly,canceled,2025-08-24,2025-11-16,other,2025-08-10,2025-08-24
71,89,quarterly,expired,2025-10-14,,,2025-10-14,2025-10-28
72,90,quarterly,active,2025-12-17,,,2025-12-03,2025-12-17
73,91,quarterly,expired,2025-06-13,,,2025-06-13,2025-06-27
74,92,quarterly,active,2025-07-24,,,2025-07-10,2025-07-24
75,93,monthly,expired,2025-07-10,,,2025-07-10,2025-07-24
76,94,monthly,expired,2025-10-31,,,2025-10-31,2025-11-14
77,95,yearly,expired,2025-08-12,,,2025-08-12,2025-08-26
78,98,quarterly,active,2025-05-30,,,2025-05-16,2025-05-30
79,101,quarterly,expired,2025-08-19,,,2025-08-19,2025-09-02
80,102,quarterly,expired,2025-08-01,,,2025-08-01,2025-08-15
81,103,monthly,canceled,2025-06-08,2025-11-02,not_using_enough,2025-05-25,2025-06-08
82,104,monthly,active,2025-08-06,,,2025-07-23,2025-08-06
83,105,monthly,canceled,2025-09-22,2025-12-08,switched_product,2025-09-08,2025-09-22
84,107,quarterly,active,2025-12-03,,,2025-11-19,2025-12-03
85,109,monthly,expired,2025-02-12,,,2025-02-12,2025-02-26
86,110,yearly,expired,2025-07-27,,,2025-07-27,2025-08-10
87,111,monthly,expired,2025-05-15,,,2025-05-15,2025-05-29
88,112,yearly,active,2025-08-08,,,2025-07-25,2025-08-08
89,113,yearly,expired,2025-11-25,,,2025-11-25,2025-12-09
90,114,quarterly,active,2025-10-09,,,2025-09-25,2025-10-09
91,116,monthly,canceled,2025-07-11,2025-09-25,payment_issues,2025-06-27,2025-07-11
92,117,quarterly,active,2025-11-30,,,2025-11-16,2025-11-30
93,118,monthly,expired,2025-10-18,,,2025-10-18,2025-11-01
94,119,quarterly,active,2025-12-30,,,2025-12-16,2025-12-30
95,120,monthly,active,2025-09-26,,,2025-09-12,2025-09-26
96,122,yearly,trial,2025-12-27,,,2025-12-27,2026-01-10
97,123,yearly,active,2025-11-20,,,2025-11-06,2025-11-20
98,124,yearly,active,2025-12-26,,,2025-12-12,2025-12-26
99,125,yearly,expired,2025-08-16,,,2025-08-16,2025-08-30
100,126,monthly,canceled,2025-11-02,2025-12-24,not_using_enough,2025-10-19,2025-11-02
101,127,quarterly,expired,2025-09-13,,,2025-09-13,2025-09-27
102,128,yearly,expired,2025-09-14,,,2025-09-14,2025-09-28
103,129,quarterly,active,2025-09-23,,,2025-09-09,2025-09-23
104,130,monthly,canceled,2025-08-21,2025-12-04,missing_features,2025-08-07,2025-08-21
105,131,yearly,expired,2025-09-13,,,2025-09-13,2025-09-27
106,133,monthly,active,2025-10-28,,,2025-10-14,2025-10-28
107,135,monthly,expired,2025-10-06,,,2025-10-06,2025-10-20
108,136,monthly,expired,2025-12-16,,,2025-12-16,2025-12-30
109,137,quarterly,active,2025-12-18,,,2025-12-04,2025-12-18
110,139,quarterly,canceled,2025-03-19,2025-05-15,too_expensive,2025-03-05,2025-03-19
111,140,monthly,trial,2025-12-19,,,2025-12-19,2026-01-02
112,141,monthly,expired,2025-08-21,,,2025-08-21,2025-09-04
113,143,monthly,canceled,2025-10-23,2025-12-28,other,2025-10-09,2025-10-23
114,144,quarterly,expired,2025-06-28,,,2025-06-28,2025-07-12
115,145,monthly,expired,2025-11-26,,,2025-11-26,2025-12-10
116,147,quarterly,active,2025-11-28,,,2025-11-14,2025-11-28
117,148,monthly,expired,2025-05-25,,,2025-05-25,2025-06-08
118,149,monthly,canceled,2025-07-23,2025-11-16,missing_features,2025-07-09,2025-07-23
119,151,monthly,canceled,2025-09-06,2025-11-29,not_using_enough,2025-08-23,2025-09-06
120,152,monthly,expired,2025-06-06,,,2025-06-06,2025-06-20
121,153,yearly,expired,2025-07-08,,,2025-07-08,2025-07-22
122,154,yearly,active,2025-12-07,,,2025-11-23,2025-12-07
123,158,monthly,active,2025-10-31,,,2025-10-17,2025-10-31
124,159,monthly,trial,2025-12-29,,,2025-12-29,2026-01-12
125,160,yearly,active,2025-07-04,,,2025-06-20,2025-07-04
126,161,quarterly,active,2025-04-25,,,2025-04-11,2025-04-25
127,162,monthly,active,2025-08-29,,,2025-08-15,2025-08-29
128,163,yearly,expired,2025-08-27,,,2025-08-27,2025-09-10
129,166,quarterly,canceled,2025-10-14,2025-12-22,missing_features,2025-09-30,2025-10-14
130,167,yearly,canceled,2025-07-05,2025-08-23,not_using_enough,2025-06-21,2025-07-05
131,169,monthly,active,2025-10-30,,,2025-10-16,2025-10-30
132,170,monthly,active,2025-12-11,,,2025-11-27,2025-12-11
133,172,monthly,active,2025-12-30,,,2025-12-16,2025-12-30
134,173,monthly,canceled,2025-09-04,2025-12-14,not_using_enough,2025-08-21,2025-09-04
135,174,yearly,active,2025-07-26,,,2025-07-12,2025-07-26
136,175,yearly,active,2025-08-28,,,2025-08-14,2025-08-28
137,176,quarterly,active,2025-10-29,,,2025-10-15,2025-10-29
138,177,monthly,expired,2025-07-26,,,2025-07-26,2025-08-09
139,178,monthly,trial,2026-01-04,,,2026-01-04,2026-01-18
140,179,monthly,active,2025-09-09,,,2025-08-26,2025-09-09
141,183,monthly,expired,2025-05-21,,,2025-05-21,2025-06-04
142,186,quarterly,expired,2025-08-15,,,2025-08-15,2025-08-29
143,188,yearly,active,2025-12-16,,,2025-12-02,2025-12-16
144,189,monthly,expired,2025-06-24,,,2025-06-24,2025-07-08
145,190,monthly,expired,2025-07-28,,,2025-07-28,2025-08-11
146,192,monthly,active,2025-10-29,,,2025-10-15,2025-10-29
147,193,quarterly,canceled,2025-10-16,2025-12-24,not_using_enough,2025-10-02,2025-10-16
148,198,monthly,active,2025-07-28,,,2025-07-14,2025-07-28
149,199,quarterly,active,2025-10-11,,,2025-09-27,2025-10-11
150,200,quarterly,expired,2025-11-18,,,2025-11-18,2025-12-02
151,201,yearly,active,2025-05-11,,,2025-04-27,2025-05-11
152,202,yearly,active,2025-09-05,,,2025-08-22,2025-09-05
153,205,monthly,active,2025-07-25,,,2025-07-11,2025-07-25
154,206,quarterly,expired,2025-04-28,,,2025-04-28,2025-05-12
155,207,quarterly,expired,2025-06-23,,,2025-06-23,2025-07-07
156,209,monthly,canceled,2025-10-18,2025-12-16,missing_features,2025-10-04,2025-10-18
157,210,monthly,expired,2025-08-11,,,2025-08-11,2025-08-25
158,211,monthly,expired,2025-12-09,,,2025-12-09,2025-12-23
159,212,monthly,expired,2025-12-08,,,2025-12-08,2025-12-22
160,214,monthly,expired,2025-12-13,,,2025-12-13,2025-12-27
161,215,monthly,active,2025-05-29,,,2025-05-15,2025-05-29
162,216,monthly,canceled,2025-07-27,2025-09-05,switched_product,2025-07-13,2025-07-27
163,217,quarterly,expired,2025-11-10,,,2025-11-10,2025-11-24
164,220,quarterly,active,2025-09-04,,,2025-08-21,2025-09-04
165,221,monthly,expired,2025-09-08,,,2025-09-08,2025-09-22
166,222,monthly,expired,2025-12-13,,,2025-12-13,2025-12-27
167,223,quarterly,expired,2025-11-02,,,2025-11-02,2025-11-16
168,225,monthly,expired,2025-05-05,,,2025-05-05,2025-05-19
169,226,yearly,active,2025-09-30,,,2025-09-16,2025-09-30
170,230,quarterly,expired,2025-06-08,,,2025-06-08,2025-06-22
171,231,monthly,expired,2025-10-05,,,2025-10-05,2025-10-19
172,232,quarterly,expired,2025-09-02,,,2025-09-02,2025-09-16
173,233,quarterly,active,2025-06-15,2025-10-01,payment_issues,2025-06-01,2025-06-15
174,235,quarterly,expired,2025-07-23,,,2025-07-23,2025-08-06
175,236,monthly,active,2025-05-23,,,2025-05-09,2025-05-23
176,238,quarterly,active,2025-12-10,,,2025-11-26,2025-12-10
177,239,quarterly,active,2025-12-29,,,2025-12-15,2025-12-29
178,240,quarterly,active,2025-10-02,,,2025-09-18,2025-10-02
179,241,quarterly,active,2025-08-17,,,2025-08-03,2025-08-17
180,242,quarterly,expired,2025-09-10,,,2025-09-10,2025-09-24
181,243,monthly,expired,2025-12-17,,,2025-12-17,2025-12-31
182,245,monthly,expired,2025-06-18,,,2025-06-18,2025-07-02
183,246,monthly,trial,2025-12-20,,,2025-12-20,2026-01-03
184,247,monthly,expired,2025-09-29,,,2025-09-29,2025-10-13
185,248,monthly,expired,2025-11-09,,,2025-11-09,2025-11-23
186,249,monthly,active,2025-05-24,,,2025-05-10,2025-05-24
187,250,quarterly,active,2025-10-31,,,2025-10-17,2025-10-31
188,251,quarterly,active,2025-12-23,,,2025-12-09,2025-12-23
189,253,monthly,canceled,2025-09-21,2025-11-18,missing_features,2025-09-07,2025-09-21
190,254,monthly,active,2025-10-08,,,2025-09-24,2025-10-08
191,256,monthly,active,2025-11-10,,,2025-10-27,2025-11-10
192,257,monthly,expired,2025-09-14,,,2025-09-14,2025-09-28
193,258,monthly,trial,2025-12-25,,,2025-12-25,2026-01-08
194,260,yearly,trial,2025-12-27,,,2025-12-27,2026-01-10
195,261,monthly,expired,2025-12-17,,,2025-12-17,2025-12-31
196,264,monthly,active,2025-11-15,,,2025-11-01,2025-11-15
197,265,monthly,expired,2025-11-03,,,2025-11-03,2025-11-17
198,266,monthly,expired,2025-09-13,,,2025-09-13,2025-09-27
199,267,quarterly,canceled,2025-08-12,2025-09-26,payment_issues,2025-07-29,2025-08-12
200,269,monthly,expired,2025-07-06,,,2025-07-06,2025-07-20
201,270,monthly,active,2025-04-02,,,2025-03-19,2025-04-02
202,271,monthly,active,2025-10-29,,,2025-10-15,2025-10-29
203,273,monthly,expired,2025-08-30,,,2025-08-30,2025-09-13
204,275,monthly,canceled,2025-11-01,2025-12-17,switched_product,2025-10-18,2025-11-01
205,276,monthly,expired,2025-05-15,,,2025-05-15,2025-05-29
206,277,yearly,expired,2025-09-07,,,2025-09-07,2025-09-21
207,278,monthly,active,2025-05-16,,,2025-05-02,2025-05-16
208,279,yearly,active,2025-05-18,,,2025-05-04,2025-05-18
209,280,monthly,expired,2025-10-14,,,2025-10-14,2025-10-28
210,281,yearly,trial,2026-01-01,,,2026-01-01,2026-01-15
211,283,monthly,active,2025-08-16,,,2025-08-02,2025-08-16
212,285,monthly,active,2025-12-24,,,2025-12-10,2025-12-24
213,286,monthly,canceled,2025-09-25,2025-12-10,switched_product,2025-09-11,2025-09-25
214,288,monthly,expired,2025-10-15,,,2025-10-15,2025-10-29
215,289,monthly,expired,2025-04-28,,,2025-04-28,2025-05-12
216,290,monthly,expired,2025-10-04,,,2025-10-04,2025-10-18
217,292,monthly,expired,2025-12-09,,,2025-12-09,2025-12-23
218,293,quarterly,active,2025-07-30,,,2025-07-16,2025-07-30
219,295,monthly,canceled,2025-10-28,2025-12-20,too_expensive,2025-10-14,2025-10-28
220,296,monthly,expired,2025-08-01,,,2025-08-01,2025-08-15
221,297,quarterly,expired,2025-06-21,,,2025-06-21,2025-07-05
222,298,yearly,trial,2025-12-19,,,2025-12-19,2026-01-02
223,300,quarterly,canceled,2025-11-02,2025-12-24,missing_features,2025-10-19,2025-11-02
224,301,monthly,expired,2025-10-04,,,2025-10-04,2025-10-18
225,302,quarterly,active,2025-11-15,,,2025-11-01,2025-11-15
226,303,monthly,active,2025-07-14,,,2025-06-30,2025-07-14
227,307,quarterly,expired,2025-06-30,,,2025-06-30,2025-07-14
228,308,monthly,canceled,2025-03-22,2025-05-04,not_using_enough,2025-03-08,2025-03-22
229,310,yearly,active,2025-06-22,,,2025-06-08,2025-06-22
230,311,monthly,active,2025-12-21,,,2025-12-07,2025-12-21
231,312,quarterly,active,2025-09-04,,,2025-08-21,2025-09-04
232,313,yearly,trial,2026-01-01,,,2026-01-01,2026-01-15
233,314,quarterly,canceled,2025-11-05,2025-12-25,switched_product,2025-10-22,2025-11-05
234,315,monthly,canceled,2025-10-06,2025-11-19,switched_product,2025-09-22,2025-10-06
235,316,yearly,expired,2025-10-13,,,2025-10-13,2025-10-27
236,317,quarterly,expired,2025-09-07,,,2025-09-07,2025-09-21
237,318,monthly,active,2025-11-16,,,2025-11-02,2025-11-16
238,319,monthly,active,2025-10-18,,,2025-10-04,2025-10-18
239,320,monthly,active,2025-10-31,,,2025-10-17,2025-10-31
240,321,yearly,active,2025-04-23,,,2025-04-09,2025-04-23
241,322,monthly,expired,2025-10-13,,,2025-10-13,2025-10-27
242,324,yearly,active,2025-11-19,,,2025-11-05,2025-11-19
243,325,quarterly,trial,2025-12-31,,,2025-12-31,2026-01-14
244,326,monthly,active,2025-11-13,,,2025-10-30,2025-11-13
245,328,yearly,expired,2025-07-16,,,2025-07-16,2025-07-30
246,329,quarterly,active,2025-06-13,,,2025-05-30,2025-06-13
247,330,monthly,active,2025-09-01,,,2025-08-18,2025-09-01
248,333,monthly,expired,2025-06-12,,,2025-06-12,2025-06-26
249,334,monthly,active,2025-07-27,,,2025-07-13,2025-07-27
250,336,quarterly,active,2025-09-18,,,2025-09-04,2025-09-18
251,337,monthly,expired,2025-08-25,,,2025-08-25,2025-09-08
252,338,monthly,active,2025-12-28,,,2025-12-14,2025-12-28
253,340,quarterly,trial,2025-12-18,,,2025-12-18,2026-01-01
254,341,monthly,active,2025-11-15,,,2025-11-01,2025-11-15
255,342,quarterly,expired,2025-07-02,,,2025-07-02,2025-07-16
256,343,monthly,canceled,2025-07-26,2025-09-23,too_expensive,2025-07-12,2025-07-26
257,344,yearly,active,2025-04-23,,,2025-04-09,2025-04-23
258,345,quarterly,canceled,2025-09-09,2025-12-22,payment_issues,2025-08-26,2025-09-09
259,346,quarterly,expired,2025-06-30,,,2025-06-30,2025-07-14
260,347,yearly,expired,2025-11-10,,,2025-11-10,2025-11-24
261,349,quarterly,expired,2025-06-15,,,2025-06-15,2025-06-29
262,350,monthly,canceled,2025-09-30,2025-12-08,other,2025-09-16,2025-09-30
263,351,quarterly,trial,2025-12-24,,,2025-12-24,2026-01-07
264,352,monthly,trial,2025-12-19,,,2025-12-19,2026-01-02
265,353,monthly,active,2025-08-01,2025-09-13,too_expensive,2025-07-18,2025-08-01
266,354,monthly,expired,2025-10-13,,,2025-10-13,2025-10-27
267,355,monthly,expired,2025-08-16,,,2025-08-16,2025-08-30
268,357,quarterly,canceled,2025-03-17,2025-10-03,not_using_enough,2025-03-03,2025-03-17
269,359,monthly,trial,2025-12-29,,,2025-12-29,2026-01-12
270,360,quarterly,canceled,2025-11-21,2025-12-28,missing_features,2025-11-07,2025-11-21
271,361,monthly,expired,2025-10-10,,,2025-10-10,2025-10-24
272,362,monthly,expired,2025-09-28,,,2025-09-28,2025-10-12
273,363,monthly,expired,2025-10-20,,,2025-10-20,2025-11-03
274,365,yearly,active,2025-06-14,,,2025-05-31,2025-06-14
275,366,monthly,canceled,2025-08-07,2025-10-27,too_expensive,2025-07-24,2025-08-07
276,367,quarterly,expired,2025-08-08,,,2025-08-08,2025-08-22
277,368,yearly,active,2025-10-17,,,2025-10-03,2025-10-17
278,369,monthly,canceled,2025-05-03,2025-12-29,not_using_enough,2025-04-19,2025-05-03
279,371,monthly,expired,2025-09-09,,,2025-09-09,2025-09-23
280,373,monthly,active,2025-06-26,,,2025-06-12,2025-06-26
281,375,quarterly,expired,2025-09-08,,,2025-09-08,2025-09-22
282,376,monthly,canceled,2025-03-11,2025-08-27,not_using_enough,2025-02-25,2025-03-11
283,377,quarterly,trial,2025-12-23,,,2025-12-23,2026-01-06
284,378,quarterly,active,2025-11-21,,,2025-11-07,2025-11-21
285,379,quarterly,expired,2025-10-09,,,2025-10-09,2025-10-23
286,380,yearly,active,2025-11-29,,,2025-11-15,2025-11-29
287,382,monthly,canceled,2025-05-07,2025-11-12,too_expensive,2025-04-23,2025-05-07
288,383,quarterly,active,2025-12-04,,,2025-11-20,2025-12-04
289,384,yearly,active,2025-09-25,,,2025-09-11,2025-09-25
290,385,yearly,active,2025-12-05,,,2025-11-21,2025-12-05
291,386,quarterly,canceled,2025-10-08,2025-11-18,payment_issues,2025-09-24,2025-10-08
292,387,monthly,expired,2025-12-04,,,2025-12-04,2025-12-18
293,389,monthly,active,2025-04-21,,,2025-04-07,2025-04-21
294,390,quarterly,trial,2025-12-23,,,2025-12-23,2026-01-06
295,391,yearly,active,2025-12-07,,,2025-11-23,2025-12-07
296,392,monthly,expired,2025-10-15,,,2025-10-15,2025-10-29
297,393,yearly,expired,2025-08-03,,,2025-08-03,2025-08-17
298,394,monthly,expired,2025-12-12,,,2025-12-12,2025-12-26
299,396,monthly,active,2025-10-14,,,2025-09-30,2025-10-14
300,397,monthly,expired,2025-07-08,,,2025-07-08,2025-07-22
301,400,monthly,active,2025-06-12,,,2025-05-29,2025-06-12
302,401,monthly,expired,2025-06-20,,,2025-06-20,2025-07-04
303,403,quarterly,expired,2025-03-24,,,2025-03-24,2025-04-07
304,404,quarterly,expired,2025-12-09,,,2025-12-09,2025-12-23
305,405,monthly,canceled,2025-11-17,2025-12-23,not_using_enough,2025-11-03,2025-11-17
306,406,monthly,expired,2025-07-01,,,2025-07-01,2025-07-15
307,407,monthly,expired,2025-08-30,,,2025-08-30,2025-09-13
308,408,yearly,expired,2025-11-24,,,2025-11-24,2025-12-08
309,409,quarterly,expired,2025-10-03,,,2025-10-03,2025-10-17
310,411,monthly,expired,2025-10-14,,,2025-10-14,2025-10-28
311,412,yearly,expired,2025-09-27,,,2025-09-27,2025-10-11
312,413,monthly,expired,2025-08-31,,,2025-08-31,2025-09-14
313,414,monthly,expired,2025-09-04,,,2025-09-04,2025-09-18
314,415,monthly,active,2025-06-28,,,2025-06-14,2025-06-28
315,417,monthly,canceled,2025-04-30,2025-09-15,not_using_enough,2025-04-16,2025-04-30
316,418,monthly,active,2025-08-03,,,2025-07-20,2025-08-03
317,420,monthly,trial,2026-01-01,,,2026-01-01,2026-01-15
318,421,quarterly,trial,2025-12-22,,,2025-12-22,2026-01-05
319,422,monthly,expired,2025-02-21,,,2025-02-21,2025-03-07
320,425,monthly,expired,2025-11-09,,,2025-11-09,2025-11-23
321,426,monthly,expired,2025-07-17,,,2025-07-17,2025-07-31
322,427,monthly,expired,2025-09-27,,,2025-09-27,2025-10-11
323,428,yearly,expired,2025-09-02,,,2025-09-02,2025-09-16
324,430,monthly,active,2025-10-16,,,2025-10-02,2025-10-16
325,431,yearly,canceled,2025-09-23,2025-11-10,payment_issues,2025-09-09,2025-09-23
326,433,monthly,canceled,2025-05-17,2025-12-21,payment_issues,2025-05-03,2025-05-17
327,434,quarterly,active,2025-12-01,,,2025-11-17,2025-12-01
328,438,yearly,expired,2025-12-14,,,2025-12-14,2025-12-28
329,441,monthly,active,2025-12-01,,,2025-11-17,2025-12-01
330,442,monthly,active,2025-10-23,,,2025-10-09,2025-10-23
331,443,yearly,trial,2025-12-28,,,2025-12-28,2026-01-11
332,444,quarterly,expired,2025-11-14,,,2025-11-14,2025-11-28
333,446,monthly,active,2025-12-12,,,2025-11-28,2025-12-12
334,447,monthly,trial,2026-01-03,,,2026-01-03,2026-01-17
335,449,monthly,expired,2025-10-19,,,2025-10-19,2025-11-02
336,450,monthly,trial,2025-12-21,,,2025-12-21,2026-01-04
337,451,quarterly,active,2025-10-30,,,2025-10-16,2025-10-30
338,452,monthly,expired,2025-06-17,,,2025-06-17,2025-07-01
339,453,monthly,active,2025-06-04,,,2025-05-21,2025-06-04
340,454,monthly,active,2025-11-24,,,2025-11-10,2025-11-24
341,455,monthly,canceled,2025-09-13,2025-11-22,not_using_enough,2025-08-30,2025-09-13
342,456,quarterly,expired,2025-10-04,,,2025-10-04,2025-10-18
343,457,monthly,expired,2025-11-22,,,2025-11-22,2025-12-06
344,458,monthly,active,2025-11-08,,,2025-10-25,2025-11-08
345,459,yearly,expired,2025-07-09,,,2025-07-09,2025-07-23
346,460,monthly,expired,2025-10-05,,,2025-10-05,2025-10-19
347,461,yearly,active,2025-12-30,,,2025-12-16,2025-12-30
348,462,monthly,canceled,2025-09-22,2025-11-04,missing_features,2025-09-08,2025-09-22
349,463,monthly,active,2025-12-29,,,2025-12-15,2025-12-29
350,464,quarterly,expired,2025-10-17,,,2025-10-17,2025-10-31
351,467,quarterly,active,2025-07-28,,,2025-07-14,2025-07-28
352,470,yearly,expired,2025-09-06,,,2025-09-06,2025-09-20
353,471,yearly,expired,2025-05-18,,,2025-05-18,2025-06-01
354,473,yearly,active,2025-10-15,,,2025-10-01,2025-10-15
355,474,monthly,active,2025-08-10,,,2025-07-27,2025-08-10
356,475,monthly,expired,2025-08-11,,,2025-08-11,2025-08-25
357,476,yearly,expired,2025-12-11,,,2025-12-11,2025-12-25
358,479,quarterly,active,2025-10-31,,,2025-10-17,2025-10-31
359,480,monthly,trial,2026-01-02,,,2026-01-02,2026-01-16
360,481,yearly,active,2025-08-25,,,2025-08-11,2025-08-25
361,483,monthly,expired,2025-11-13,,,2025-11-13,2025-11-27
362,484,monthly,active,2025-10-30,,,2025-10-16,2025-10-30
363,485,quarterly,expired,2025-08-23,,,2025-08-23,2025-09-06
364,486,monthly,canceled,2025-09-18,2025-12-21,not_using_enough,2025-09-04,2025-09-18
365,487,monthly,active,2025-12-07,,,2025-11-23,2025-12-07
366,488,monthly,expired,2025-08-11,,,2025-08-11,2025-08-25
367,489,monthly,expired,2025-10-22,,,2025-10-22,2025-11-05
368,490,monthly,canceled,2025-07-14,2025-11-06,too_expensive,2025-06-30,2025-07-14
369,491,monthly,active,2025-08-31,,,2025-08-17,2025-08-31
370,492,monthly,expired,2025-09-07,,,2025-09-07,2025-09-21
371,493,monthly,canceled,2025-06-17,2025-11-24,too_expensive,2025-06-03,2025-06-17
372,495,quarterly,canceled,2025-10-01,2025-11-17,too_expensive,2025-09-17,2025-10-01
373,496,monthly,active,2025-12-10,,,2025-11-26,2025-12-10
374,497,quarterly,expired,2025-01-09,,,2025-01-09,2025-01-23
375,498,monthly,expired,2025-04-03,,,2025-04-03,2025-04-17
376,499,monthly,expired,2025-10-12,,,2025-10-12,2025-10-26
377,500,yearly,expired,2025-12-03,,,2025-12-03,2025-12-17
378,501,monthly,expired,2025-09-09,,,2025-09-09,2025-09-23
379,502,quarterly,canceled,2025-09-29,2025-12-30,switched_product,2025-09-15,2025-09-29
380,503,quarterly,active,2025-10-17,,,2025-10-03,2025-10-17
381,504,monthly,expired,2025-12-08,,,2025-12-08,2025-12-22
382,505,quarterly,active,2025-09-02,,,2025-08-19,2025-09-02
383,508,monthly,canceled,2025-02-19,2025-06-21,payment_issues,2025-02-05,2025-02-19
384,510,quarterly,expired,2025-11-20,,,2025-11-20,2025-12-04
385,511,quarterly,expired,2025-09-26,,,2025-09-26,2025-10-10
386,512,yearly,expired,2025-11-21,,,2025-11-21,2025-12-05
387,513,yearly,canceled,2025-11-11,2025-12-26,too_expensive,2025-10-28,2025-11-11
388,514,yearly,expired,2025-06-19,,,2025-06-19,2025-07-03
389,515,yearly,expired,2025-12-06,,,2025-12-06,2025-12-20
